[CH3CO]-;Oxoethanide;   -44; -49.5
CH2CH2OOH;2-Hydroperoxyethyl;  64.8;  50.4
CH3OCO;Methoxyoxomethyl;-152.8;-160.9
(H2O)2;Water dimer;-491.026;-499.066
[HOCO]-;Hydroxyformyl anion;-319.53;-322.11
HC(O)OCH2CH3;Ethyl formate;  -375;-393.7
CH3CH2C(O)OH;Propionic acid;-435.77;-453.67
[HFH]+;Fluoronium;774.04; 771.1
CH3NCH;(Methylimino)methyl;   278; 267.9
N(CH2CH2);1-Aziridinyl;   314; 301.8
(CH3)2NCH2;(Dimethylamino)methyl; 166.5; 143.4
[HCNN]-;Diazomethanide; 305.2; 302.1
[CH3CH2NH]-;Ethylamidogen anion;106.55;  88.9
[CH2Cl]-;Chloromethide;  56.3;  53.1
CCl3CCl3;Hexachloroethane;-144.1;-146.5
CHClCHCl;cis-1,2-Dichloroethene;  3.83; -2.16
ClCCCl;Dichloroacetylene;232.85;236.16
CHI3;Iodoform; 217.3; 209.3
CH3CHF2;1,1-Difluoroethane;  -489;-502.72
CH2CHI;Vinyl iodide;139.64; 130.8
HCCBr;Bromoacetylene; 287.5;   281
